,Sample,Area,Feret,Perim.,Major,Minor,Width,Height,Min,Max,AR,Circ.,Round,Solidity,Morph,Upper_CMBS,Lower_CMBS
327,AC8_RE_10,29939.061,309.352,1059.917,290.402,131.265,244.048,303.571,3,74,2.212,0.335,0.452,0.634,Irregular,80,70
328,AC8_RE_10,124043.375,550.845,1646.036,527.596,299.352,547.619,363.095,0,61,1.762,0.575,0.567,0.889,Irregular,80,70
329,AC8_RE_10,57220.808,387.774,1108.98,362.919,200.749,375,267.857,2,87,1.808,0.585,0.553,0.844,Indeterminate,80,70
330,AC8_RE_10,13995.182,157.26,491.479,149.152,119.47,142.857,148.81,3,57,1.248,0.728,0.801,0.895,Indeterminate,80,70
331,AC8_RE_10,17786.282,191.959,685.69,165.035,137.221,172.619,148.81,0,40,1.203,0.475,0.831,0.868,Irregular,80,70
332,AC8_RE_10,51055.842,417.94,1215.525,319.267,203.611,369.048,285.714,1,33,1.568,0.434,0.638,0.698,Irregular,80,70
333,AC8_RE_10,10877.268,177.577,515.887,137.89,100.438,166.667,136.905,4,48,1.373,0.514,0.728,0.732,Irregular,80,70
334,AC8_RE_10,7511.338,117.399,358.237,103.745,92.185,107.143,113.095,3,57,1.125,0.736,0.889,0.85,Irregular,80,70
335,AC8_RE_10,34474.208,252.678,794.277,214.155,204.963,244.048,244.048,2,58,1.045,0.687,0.957,0.857,Irregular,80,70
336,AC8_RE_10,20868.765,248.079,700.834,196.344,135.328,154.762,214.286,2,73,1.451,0.534,0.689,0.817,Irregular,80,70
337,AC8_RE_10,35005.671,249.858,1038.996,238.922,186.549,244.048,220.238,3,122,1.281,0.407,0.781,0.829,Irregular,80,70
338,AC8_RE_10,2409.297,85.225,213.089,74.337,41.266,47.619,83.333,4,51,1.801,0.667,0.555,0.81,Irregular,80,70
339,AC8_RE_10,4783.164,114.342,302.2,104.314,58.382,95.238,89.286,4,78,1.787,0.658,0.56,0.831,Irregular,80,70
340,AC8_RE_10,77947.851,430.057,1521.459,404.791,245.179,428.571,321.429,4,123,1.651,0.423,0.606,0.819,Irregular,80,70
341,AC8_RE_10,58779.765,405.156,1466.619,325.634,229.831,404.762,321.429,13,106,1.417,0.343,0.706,0.714,Irregular,80,70
342,AC8_RE_10,21045.92,235.853,831.436,183.89,145.72,196.429,178.571,16,72,1.262,0.383,0.792,0.771,Irregular,80,70
343,AC8_RE_10,6235.828,119.789,314.104,117.418,67.619,95.238,107.143,16,59,1.736,0.794,0.576,0.898,Indeterminate,80,70
344,AC8_RE_10,10912.699,181.718,648.532,154.591,89.879,160.714,154.762,9,77,1.72,0.326,0.581,0.691,Irregular,80,70
345,AC8_RE_10,31001.986,290.693,771.066,269.26,146.598,232.143,232.143,1,38,1.837,0.655,0.544,0.885,Irregular,80,70
346,AC8_RE_10,17821.713,231.837,656.104,197.796,114.721,208.333,160.714,2,40,1.724,0.52,0.58,0.728,Irregular,80,70
347,AC8_RE_10,28061.226,239.948,672.341,229.082,155.965,220.238,208.333,1,55,1.469,0.78,0.681,0.921,Indeterminate,80,70
348,AC8_RE_10,10204.082,271.079,801.251,201.174,64.582,255.952,160.714,2,76,3.115,0.2,0.321,0.382,Irregular,80,70
349,AC8_RE_10,17183.958,205.508,621.834,168.106,130.152,166.667,202.381,3,52,1.292,0.558,0.774,0.799,Irregular,80,70
350,AC8_RE_10,21293.936,234.27,701.68,213.687,126.878,160.714,214.286,3,59,1.684,0.543,0.594,0.818,Irregular,80,70
351,AC8_RE_10,42339.855,305.143,819.531,285.143,189.059,285.714,232.143,0,41,1.508,0.792,0.663,0.945,Indeterminate,80,70
352,AC8_RE_10,20337.303,207.908,764.939,204.191,126.814,202.381,154.762,2,70,1.61,0.437,0.621,0.811,Irregular,80,70
353,AC8_RE_10,160643.434,628.589,2030.032,541.143,377.973,559.524,571.429,0,144,1.432,0.49,0.698,0.733,Irregular,80,70
354,AC8_RE_10,16652.495,250.283,640.712,245.856,86.24,238.095,148.81,2,128,2.851,0.51,0.351,0.789,Indeterminate,80,70
355,AC8_RE_10,35572.565,316.877,978.626,291.707,155.267,250,285.714,5,80,1.879,0.467,0.532,0.79,Irregular,80,70
356,AC8_RE_10,36918.936,301.169,922.589,273.913,171.612,285.714,238.095,7,80,1.596,0.545,0.627,0.799,Irregular,80,70
357,AC8_RE_10,19203.516,236.977,823.266,166.533,146.822,214.286,190.476,7,61,1.134,0.356,0.882,0.749,Irregular,80,70
358,AC8_RE_10,115221.095,581.508,2454.261,499.751,293.554,541.667,452.381,0,83,1.702,0.24,0.587,0.73,Irregular,80,70
