,Sample,Area,Feret,Perim.,Major,Minor,Width,Height,Min,Max,AR,Circ.,Round,Solidity,Morph,Upper_CMBS,Lower_CMBS
84,AC8_RE_03,34297.054,255.675,880.747,231.449,188.674,250,208.333,4,92,1.227,0.556,0.815,0.886,Irregular,150,140
85,AC8_RE_03,65015.594,391.321,1442.211,356.686,232.082,351.19,285.714,1,87,1.537,0.393,0.651,0.876,Irregular,150,140
86,AC8_RE_03,24695.296,226.66,637.823,206.633,152.169,214.286,160.714,2,52,1.358,0.763,0.736,0.916,Indeterminate,150,140
87,AC8_RE_03,20266.441,231.532,632.294,201.41,128.117,160.714,220.238,0,57,1.572,0.637,0.636,0.853,Irregular,150,140
88,AC8_RE_03,33553.007,306.418,836.367,282.658,151.14,303.571,196.429,1,106,1.87,0.603,0.535,0.822,Indeterminate,150,140
89,AC8_RE_03,8786.849,165.065,440.126,135.555,82.533,148.81,107.143,2,45,1.642,0.57,0.609,0.782,Irregular,150,140
90,AC8_RE_03,13782.597,215.687,574.215,192.08,91.361,166.667,190.476,9,46,2.102,0.525,0.476,0.731,Irregular,150,140
91,AC8_RE_03,67283.167,368.134,1321.719,330.949,258.854,297.619,363.095,1,61,1.279,0.484,0.782,0.887,Irregular,150,140
92,AC8_RE_03,6412.982,124.289,368.099,109.796,74.368,119.048,95.238,2,45,1.476,0.595,0.677,0.78,Irregular,150,140
93,AC8_RE_03,20372.734,250.354,685.69,195.778,132.494,160.714,238.095,1,57,1.478,0.545,0.677,0.819,Irregular,150,140
94,AC8_RE_03,27671.487,225.327,716.473,195.679,180.052,196.429,220.238,3,44,1.087,0.677,0.92,0.919,Indeterminate,150,140
95,AC8_RE_03,7617.631,173.54,513.246,139.405,69.575,148.81,125,5,49,2.004,0.363,0.499,0.62,Irregular,150,140
96,AC8_RE_03,12081.917,197.866,541.141,169.964,90.509,184.524,130.952,2,59,1.878,0.518,0.533,0.773,Irregular,150,140
97,AC8_RE_03,35076.533,252.889,807.626,224.471,198.96,226.19,226.19,4,84,1.128,0.676,0.886,0.878,Indeterminate,150,140
98,AC8_RE_03,26608.562,269.506,698.193,236.216,143.424,202.381,202.381,2,58,1.647,0.686,0.607,0.909,Indeterminate,150,140
99,AC8_RE_03,26325.115,280.521,753.384,287.863,116.438,273.81,130.952,4,67,2.472,0.583,0.404,0.852,Irregular,150,140
100,AC8_RE_03,22356.861,238.244,699.638,228.888,124.365,232.143,148.81,3,59,1.84,0.574,0.543,0.858,Irregular,150,140
101,AC8_RE_03,111961.458,881.133,2066.437,865.718,164.665,422.619,803.571,1,35,5.257,0.329,0.19,0.863,Irregular,150,140
102,AC8_RE_03,26785.716,211.958,658.394,196.755,173.335,202.381,190.476,1,57,1.135,0.777,0.881,0.909,Indeterminate,150,140
103,AC8_RE_03,23844.956,244.7,790.192,214.684,141.418,166.667,244.048,2,70,1.518,0.48,0.659,0.854,Irregular,150,140
104,AC8_RE_03,11585.885,148.81,510.358,133.023,110.895,130.952,119.048,2,52,1.2,0.559,0.834,0.854,Irregular,150,140
105,AC8_RE_03,17219.389,185.958,556.533,180.882,121.208,154.762,172.619,4,51,1.492,0.699,0.67,0.866,Irregular,150,140
106,AC8_RE_03,26643.993,229.765,713.585,212.596,159.571,166.667,220.238,1,61,1.332,0.658,0.751,0.9,Irregular,150,140
107,AC8_RE_03,21577.382,191.959,575.586,169.872,161.728,190.476,178.571,1,180,1.05,0.818,0.952,0.898,Geometric,150,140
108,AC8_RE_03,12294.502,154.533,452.278,140.628,111.314,148.81,148.81,4,53,1.263,0.755,0.792,0.862,Indeterminate,150,140
109,AC8_RE_03,83014.461,418.067,1725.284,333.728,316.716,345.238,369.048,1,69,1.054,0.35,0.949,0.86,Irregular,150,140
110,AC8_RE_03,42410.717,341.108,960.944,302.207,178.682,297.619,202.381,0,58,1.691,0.577,0.591,0.88,Irregular,150,140
111,AC8_RE_03,19770.409,188.231,576.855,167.089,150.653,160.714,178.571,5,55,1.109,0.747,0.902,0.884,Indeterminate,150,140
112,AC8_RE_03,25758.222,216.67,757.965,206.326,158.955,190.476,202.381,5,53,1.298,0.563,0.77,0.9,Irregular,150,140
113,AC8_RE_03,44678.291,339.703,1105.741,321.382,177.005,220.238,333.333,1,37,1.816,0.459,0.551,0.82,Irregular,150,140
114,AC8_RE_03,16687.926,254.495,952.774,216.044,98.349,125,250,3,41,2.197,0.231,0.455,0.728,Irregular,150,140
115,AC8_RE_03,252125.866,745.475,2401.463,620.258,517.553,666.667,577.381,0,164,1.198,0.549,0.834,0.893,Geometric,150,140
116,AC8_RE_03,31923.188,294.026,767.579,269.982,150.55,202.381,250,1,33,1.793,0.681,0.558,0.901,Irregular,150,140
117,AC8_RE_03,25014.174,202.731,635.781,191.06,166.697,202.381,184.524,2,50,1.146,0.778,0.872,0.9,Indeterminate,150,140
118,AC8_RE_03,28769.843,237.648,729.822,220.504,166.123,178.571,220.238,2,73,1.327,0.679,0.753,0.934,Indeterminate,150,140
119,AC8_RE_03,16617.065,173.029,543.184,159.979,132.251,148.81,166.667,3,62,1.21,0.708,0.827,0.88,Irregular,150,140
120,AC8_RE_03,15341.554,229.07,719.362,171.492,113.903,160.714,208.333,12,75,1.506,0.373,0.664,0.731,Irregular,150,140
121,AC8_RE_03,14066.044,216.425,684.246,176.624,101.399,184.524,190.476,5,61,1.742,0.378,0.574,0.671,Irregular,150,140
122,AC8_RE_03,23526.079,242.81,681.319,191.367,156.528,238.095,190.476,1,176,1.223,0.637,0.818,0.783,Geometric,150,140
123,AC8_RE_03,70897.113,459.26,1779.877,401.403,224.884,369.048,363.095,1,78,1.785,0.281,0.56,0.755,Irregular,150,140
124,AC8_RE_03,57823.133,343.489,1084.572,306.366,240.31,339.286,285.714,3,51,1.275,0.618,0.784,0.898,Irregular,150,140
125,AC8_RE_04,6802.722,247.722,583.231,225.434,38.421,202.381,148.81,2,46,5.867,0.251,0.17,0.588,Irregular,140,130
126,AC8_RE_04,14420.352,211.372,534.167,201.346,91.189,178.571,148.81,2,62,2.208,0.635,0.453,0.875,Irregular,140,130
127,AC8_RE_04,27388.04,251.765,778.886,211.184,165.124,202.381,250,3,56,1.279,0.567,0.782,0.809,Irregular,140,130
128,AC8_RE_04,22321.43,210.448,625.32,188.36,150.884,196.429,172.619,1,60,1.248,0.717,0.801,0.901,Indeterminate,140,130
129,AC8_RE_04,40639.175,406.204,1585.068,325.658,158.889,261.905,339.286,1,87,2.05,0.203,0.488,0.657,Irregular,140,130
130,AC8_RE_04,34013.608,344.468,1037.902,325.563,133.023,339.286,196.429,0,43,2.447,0.397,0.409,0.704,Irregular,140,130
131,AC8_RE_04,16050.171,222.24,717.319,212.571,96.136,208.333,160.714,2,61,2.211,0.392,0.452,0.776,Irregular,140,130
132,AC8_RE_04,7723.923,131.088,413.675,113.654,86.53,113.095,119.048,2,57,1.313,0.567,0.761,0.812,Irregular,140,130
133,AC8_RE_04,1523.526,75.761,194.211,58.923,32.921,53.571,53.571,9,44,1.79,0.508,0.559,0.729,Irregular,140,130
134,AC8_RE_04,20018.425,179.955,569.882,165.607,153.908,166.667,160.714,2,60,1.076,0.775,0.929,0.922,Indeterminate,140,130
135,AC8_RE_04,22179.707,215.687,614.014,198.763,142.079,196.429,160.714,1,41,1.399,0.739,0.715,0.903,Indeterminate,140,130
136,AC8_RE_04,20939.627,196.519,586.718,176.327,151.203,166.667,172.619,13,58,1.166,0.764,0.858,0.906,Indeterminate,140,130
137,AC8_RE_04,56228.745,305.143,944.356,287.023,249.432,261.905,291.667,1,35,1.151,0.792,0.869,0.957,Indeterminate,140,130
138,AC8_RE_04,16652.495,202.731,611.373,202.997,104.448,202.381,160.714,4,55,1.944,0.56,0.515,0.76,Irregular,140,130
139,AC8_RE_04,7475.907,161.922,464.781,134.597,70.719,130.952,113.095,2,58,1.903,0.435,0.525,0.76,Irregular,140,130
140,AC8_RE_04,11479.593,176.777,548.115,141.66,103.178,125,160.714,1,69,1.373,0.48,0.728,0.795,Irregular,140,130
141,AC8_RE_04,42446.148,310.723,921.145,283.313,190.758,285.714,238.095,0,56,1.485,0.629,0.673,0.892,Irregular,140,130
142,AC8_RE_04,44820.014,553.923,1360.424,488.755,116.759,172.619,547.619,2,38,4.186,0.304,0.239,0.78,Irregular,140,130
143,AC8_RE_04,21754.536,212.959,586.718,204.49,135.453,154.762,196.429,6,124,1.51,0.794,0.662,0.924,Geometric,140,130
144,AC8_RE_04,33588.437,325.645,1127.26,265.694,160.96,208.333,297.619,2,92,1.651,0.332,0.606,0.81,Irregular,140,130
145,AC8_RE_04,17538.266,212.959,694.108,196.886,113.418,202.381,178.571,3,67,1.736,0.457,0.576,0.723,Irregular,140,130
146,AC8_RE_04,12896.826,200.092,643.601,173.142,94.84,184.524,113.095,9,57,1.826,0.391,0.548,0.784,Irregular,140,130
147,AC8_RE_04,12755.103,190.197,541.739,180.094,90.177,119.048,178.571,4,65,1.997,0.546,0.501,0.79,Irregular,140,130
148,AC8_RE_04,37733.846,274.197,1055.832,241.922,198.593,238.095,255.952,20,105,1.218,0.425,0.821,0.84,Irregular,140,130
149,AC8_RE_05,45316.046,299.103,888.917,296.926,194.318,261.905,267.857,18,80,1.528,0.721,0.654,0.92,Geometric,130,120
150,AC8_RE_05,15660.432,244.12,772.758,203.45,98.007,142.857,244.048,18,65,2.076,0.33,0.482,0.702,Irregular,130,120
151,AC8_RE_05,31958.619,274.843,933.896,249.671,162.978,267.857,214.286,6,67,1.532,0.46,0.653,0.764,Irregular,130,120
152,AC8_RE_05,20585.319,220.961,616.304,195.708,133.924,178.571,220.238,9,48,1.461,0.681,0.684,0.857,Irregular,130,120
153,AC8_RE_05,16121.033,215.604,604.399,211.089,97.238,107.143,214.286,1,88,2.171,0.555,0.461,0.854,Irregular,130,120
154,AC8_RE_05,16546.203,224.145,618.347,197.608,106.611,125,220.238,13,93,1.854,0.544,0.54,0.844,Irregular,130,120
155,AC8_RE_05,37592.122,360.746,1203.62,341.998,139.953,285.714,321.429,15,85,2.444,0.326,0.409,0.658,Irregular,130,120
156,AC8_RE_05,6023.243,122.711,356.792,109.927,69.765,119.048,83.333,13,48,1.576,0.595,0.635,0.833,Irregular,130,120
157,AC8_RE_05,23207.201,428.613,1003.282,386.83,76.386,345.238,267.857,26,77,5.064,0.29,0.197,0.704,Indeterminate,130,120
158,AC8_RE_05,12932.257,210.364,698.193,179.337,91.815,154.762,202.381,11,62,1.953,0.333,0.512,0.57,Irregular,130,120
159,AC8_RE_05,40072.281,320.546,962.636,288.885,176.616,202.381,315.476,11,49,1.636,0.543,0.611,0.852,Irregular,130,120
160,AC8_RE_05,24447.28,222.877,648.532,206.886,150.456,196.429,190.476,15,99,1.375,0.73,0.727,0.891,Indeterminate,130,120
161,AC8_RE_05,18849.207,198.938,728.976,164.291,146.079,172.619,154.762,11,64,1.125,0.446,0.889,0.865,Irregular,130,120
162,AC8_RE_05,16191.894,225.877,623.278,214.25,96.225,214.286,119.048,3,81,2.227,0.524,0.449,0.834,Irregular,130,120
163,AC8_RE_05,33588.437,282.973,823.864,255.929,167.102,190.476,273.81,25,87,1.532,0.622,0.653,0.86,Indeterminate,130,120
164,AC8_RE_05,41206.068,399.209,1450.629,327.962,159.974,375,232.143,5,88,2.05,0.246,0.488,0.746,Irregular,130,120
165,AC8_RE_05,120890.03,554.85,1760.751,527.849,291.602,369.048,547.619,2,130,1.81,0.49,0.552,0.856,Geometric,130,120
166,AC8_RE_05,100092.126,548.976,1719.755,487.426,261.457,541.667,351.19,2,86,1.864,0.425,0.536,0.793,Irregular,130,120
167,AC8_RE_05,20691.611,282.346,827.949,237.818,110.78,184.524,267.857,3,92,2.147,0.379,0.466,0.73,Irregular,130,120
168,AC8_RE_05,14562.076,202.118,665.368,192.463,96.336,196.429,148.81,17,103,1.998,0.413,0.501,0.659,Irregular,130,120
169,AC8_RE_05,8113.663,194.343,680.759,164.923,62.639,119.048,178.571,4,81,2.633,0.22,0.38,0.539,Irregular,130,120
170,AC8_RE_05,30753.97,265.198,789.346,257.862,151.853,160.714,261.905,6,88,1.698,0.62,0.589,0.891,Indeterminate,130,120
171,AC8_RE_05,41135.207,288.737,855.246,277.362,188.832,285.714,196.429,6,66,1.469,0.707,0.681,0.932,Indeterminate,130,120
172,AC8_RE_06,53748.586,330.022,1041.038,301.566,226.932,279.762,303.571,2,35,1.329,0.623,0.753,0.871,Irregular,120,110
173,AC8_RE_06,16900.511,186.909,584.675,159.453,134.951,166.667,184.524,8,61,1.182,0.621,0.846,0.853,Irregular,120,110
174,AC8_RE_06,583191.646,1024.432,3693.843,909.688,816.261,1023.81,863.095,1,108,1.114,0.537,0.897,0.897,Indeterminate,120,110
175,AC8_RE_06,23207.201,314.126,1200.381,252.003,117.254,309.524,190.476,8,67,2.149,0.202,0.465,0.575,Irregular,120,110
176,AC8_RE_06,52650.23,421.78,1460.841,346.585,193.42,416.667,321.429,20,77,1.792,0.31,0.558,0.588,Irregular,120,110
177,AC8_RE_06,34686.794,357.985,1059.917,242.551,182.084,261.905,291.667,21,78,1.332,0.388,0.751,0.719,Irregular,120,110
178,AC8_RE_06,72101.762,660.178,3008.153,401.153,228.847,589.286,529.762,7,61,1.753,0.1,0.57,0.382,Irregular,120,110
179,AC8_RE_06,26112.53,248.579,659.59,236.001,140.879,238.095,160.714,2,42,1.675,0.754,0.597,0.931,Indeterminate,120,110
180,AC8_RE_06,5916.95,126.549,314.104,116.994,64.394,101.19,95.238,1,35,1.817,0.754,0.55,0.903,Indeterminate,120,110
181,AC8_RE_06,10700.114,203.603,513.845,194.321,70.11,107.143,196.429,16,55,2.772,0.509,0.361,0.829,Irregular,120,110
182,AC8_RE_06,29726.476,275.744,782.971,247.117,153.162,232.143,172.619,3,44,1.613,0.609,0.62,0.893,Irregular,120,110
183,AC8_RE_06,8999.434,186.814,499.897,158.614,72.241,113.095,172.619,1,50,2.196,0.453,0.455,0.687,Irregular,120,110
184,AC8_RE_06,9601.758,170.242,703.97,142.951,85.521,160.714,148.81,10,53,1.672,0.243,0.598,0.577,Irregular,120,110
185,AC8_RE_06,25722.791,243.175,754.23,224.059,146.173,160.714,238.095,3,95,1.533,0.568,0.652,0.86,Irregular,120,110
186,AC8_RE_06,70223.927,363.29,1698.834,306.882,291.356,339.286,345.238,5,84,1.053,0.306,0.949,0.811,Irregular,120,110
187,AC8_RE_06,23809.525,215.687,647.686,197.498,153.496,202.381,160.714,7,51,1.287,0.713,0.777,0.899,Irregular,120,110
188,AC8_RE_06,484906.492,909.527,3260.691,890.057,693.666,815.476,857.143,0,96,1.283,0.573,0.779,0.941,Indeterminate,120,110
189,AC8_RE_06,20018.425,184.62,680.759,173.079,147.263,172.619,160.714,1,115,1.175,0.543,0.851,0.9,Indeterminate,120,110
190,AC8_RE_06,10629.252,147.854,520.818,124.553,108.657,125,136.905,2,51,1.146,0.492,0.872,0.816,Irregular,120,110
191,AC8_RE_06,5739.796,144.95,377.115,114.458,63.85,77.381,136.905,2,52,1.793,0.507,0.558,0.824,Irregular,120,110
192,AC8_RE_06,6412.982,181.328,563.754,160.351,50.921,166.667,136.905,12,55,3.149,0.254,0.318,0.563,Irregular,120,110
193,AC8_RE_06,56122.452,318.661,1002.683,304.255,234.86,303.571,261.905,16,54,1.295,0.701,0.772,0.924,Indeterminate,120,110
194,AC8_RE_06,215525.807,635.903,2304.78,580.737,472.531,535.714,583.333,6,87,1.229,0.51,0.814,0.884,Irregular,120,110
195,AC8_RE_06,95698.702,469.333,1664.316,408.487,298.289,345.238,458.333,11,87,1.369,0.434,0.73,0.872,Irregular,120,110
196,AC8_RE_06,26714.854,290.693,764.092,273.09,124.554,244.048,214.286,8,72,2.193,0.575,0.456,0.857,Irregular,120,110
197,AC8_RE_06,567106.044,1099.661,4254.461,1027.712,702.591,755.952,1011.905,1,110,1.463,0.394,0.684,0.88,Irregular,120,110
198,AC8_RE_06,14810.092,181.718,636.627,152.664,123.518,154.762,166.667,7,68,1.236,0.459,0.809,0.796,Irregular,120,110
199,AC8_RE_06,22392.292,204.558,658.394,189.631,150.349,202.381,166.667,13,65,1.261,0.649,0.793,0.908,Irregular,120,110
200,AC8_RE_06,28096.657,231.608,706.611,209.58,170.693,208.333,196.429,0,53,1.228,0.707,0.814,0.886,Irregular,120,110
201,AC8_RE_06,10239.513,168.464,429.067,152.592,85.439,130.952,142.857,0,49,1.786,0.699,0.56,0.892,Irregular,120,110
202,AC8_RE_06,1146081.419,1605.158,5158.872,1422.656,1025.713,1309.524,1357.143,0,96,1.387,0.541,0.721,0.896,Indeterminate,120,110
203,AC8_RE_06,25297.621,266.531,795.722,239.36,134.567,184.524,244.048,0,31,1.779,0.502,0.562,0.785,Irregular,120,110
204,AC8_RE_06,11160.715,200.092,596.58,157.745,90.084,160.714,184.524,5,45,1.751,0.394,0.571,0.636,Irregular,120,110
205,AC8_RE_06,10593.822,159.719,448.544,142.602,94.589,107.143,148.81,3,65,1.508,0.662,0.663,0.836,Irregular,120,110
206,AC8_RE_06,5243.764,116.946,311.216,109.585,60.926,71.429,113.095,3,55,1.799,0.68,0.556,0.871,Irregular,120,110
207,AC8_RE_06,20408.165,197.866,705.167,163.727,158.706,184.524,190.476,11,58,1.032,0.516,0.969,0.797,Irregular,120,110
208,AC8_RE_06,155328.808,515.079,2119.834,456.082,433.63,476.19,494.048,3,126,1.052,0.434,0.951,0.869,Indeterminate,120,110
209,AC8_RE_06,14703.799,191.311,553.892,172.434,108.572,190.476,130.952,2,64,1.588,0.602,0.63,0.863,Irregular,120,110
210,AC8_RE_06,9920.636,203.603,615.458,173.058,72.989,196.429,107.143,2,42,2.371,0.329,0.422,0.665,Irregular,120,110
211,AC8_RE_06,5598.073,122.711,386.977,107.547,66.275,77.381,119.048,9,57,1.623,0.47,0.616,0.742,Irregular,120,110
212,AC8_RE_07,8574.264,145.924,422.093,120.37,90.696,142.857,125,15,54,1.327,0.605,0.753,0.771,Irregular,110,100
213,AC8_RE_07,19451.532,259.322,827.949,171.863,144.106,220.238,190.476,11,64,1.193,0.357,0.838,0.727,Irregular,110,100
214,AC8_RE_07,18176.022,193.155,622.68,176.094,131.421,166.667,178.571,3,76,1.34,0.589,0.746,0.827,Irregular,110,100
215,AC8_RE_07,20904.196,248.65,748.103,209.817,126.854,148.81,244.048,2,136,1.654,0.469,0.605,0.805,Indeterminate,110,100
216,AC8_RE_07,17431.974,205.249,706.013,154.943,143.247,178.571,178.571,3,111,1.082,0.439,0.925,0.802,Irregular,110,100
217,AC8_RE_07,37414.968,374.811,1374.867,315.789,150.855,369.048,196.429,14,120,2.093,0.249,0.478,0.639,Irregular,110,100
218,AC8_RE_07,28876.136,287.322,1011.7,271.339,135.499,190.476,279.762,8,139,2.003,0.355,0.499,0.821,Irregular,110,100
219,AC8_RE_07,60799.323,375.425,1179.212,361.532,214.122,291.667,345.238,1,128,1.688,0.549,0.592,0.903,Indeterminate,110,100
220,AC8_RE_07,31250.002,243.175,740.283,223.468,178.051,226.19,232.143,1,79,1.255,0.717,0.797,0.878,Indeterminate,110,100
221,AC8_RE_07,9920.636,180.152,520.22,154.49,81.762,107.143,178.571,4,69,1.89,0.461,0.529,0.739,Irregular,110,100
222,AC8_RE_07,8786.849,161.155,447.347,130.038,86.034,119.048,160.714,7,86,1.511,0.552,0.662,0.741,Irregular,110,100
223,AC8_RE_07,31923.188,305.027,955.415,272.663,149.07,166.667,303.571,9,84,1.829,0.439,0.547,0.874,Irregular,110,100
